Counter                                                                                   ID  
FWPM_LAYER_ALE_RESOURCE_ASSIGNMENT_V6_DISCARD                                             6828
FWPM_LAYER_ALE_RESOURCE_RELEASE_V4                                                        6874
FWPM_LAYER_ALE_RESOURCE_RELEASE_V6                                                        6876
FWPM_LAYER_DATAGRAM_DATA_V4                                                               6798
FWPM_LAYER_DATAGRAM_DATA_V4_DISCARD                                                       6800
FWPM_LAYER_DATAGRAM_DATA_V6                                                               6802
FWPM_LAYER_DATAGRAM_DATA_V6_DISCARD                                                       6804
FWPM_LAYER_EGRESS_VSWITCH_ETHERNET                                                        6896
FWPM_LAYER_EGRESS_VSWITCH_TRANSPORT_V4                                                    6902
FWPM_LAYER_EGRESS_VSWITCH_TRANSPORT_V6                                                    6904
FWPM_LAYER_IKEEXT_V4                                                                      6940
FWPM_LAYER_IKEEXT_V6                                                                      6942
FWPM_LAYER_INBOUND_ICMP_ERROR_V4                                                          6806
FWPM_LAYER_INBOUND_ICMP_ERROR_V4_DISCARD                                                  6808
FWPM_LAYER_INBOUND_ICMP_ERROR_V6                                                          6810
FWPM_LAYER_INBOUND_ICMP_ERROR_V6_DISCARD                                                  6812
FWPM_LAYER_INBOUND_IPPACKET_V4                                                            6750
FWPM_LAYER_INBOUND_IPPACKET_V4_DISCARD                                                    6752
FWPM_LAYER_INBOUND_IPPACKET_V6                                                            6754
FWPM_LAYER_INBOUND_IPPACKET_V6_DISCARD                                                    6756
FWPM_LAYER_INBOUND_MAC_FRAME_ETHERNET                                                     6862
FWPM_LAYER_INBOUND_MAC_FRAME_NATIVE                                                       6866
FWPM_LAYER_INBOUND_MAC_FRAME_NATIVE_FAST                                                  6910
FWPM_LAYER_INBOUND_SSL_THROTTLING                                                         6930
FWPM_LAYER_INBOUND_TRANSPORT_FAST                                                         6906
FWPM_LAYER_INBOUND_TRANSPORT_V4                                                           6774
FWPM_LAYER_INBOUND_TRANSPORT_V4_DISCARD                                                   6776
FWPM_LAYER_INBOUND_TRANSPORT_V6                                                           6778
FWPM_LAYER_INBOUND_TRANSPORT_V6_DISCARD                                                   6780
FWPM_LAYER_INGRESS_VSWITCH_ETHERNET                                                       6894
FWPM_LAYER_INGRESS_VSWITCH_TRANSPORT_V4                                                   6898
FWPM_LAYER_INGRESS_VSWITCH_TRANSPORT_V6                                                   6900
FWPM_LAYER_IPFORWARD_V4                                                                   6766
FWPM_LAYER_IPFORWARD_V4_DISCARD                                                           6768
FWPM_LAYER_IPFORWARD_V6                                                                   6770
FWPM_LAYER_IPFORWARD_V6_DISCARD                                                           6772
FWPM_LAYER_IPSEC_KM_DEMUX_V4                                                              6932
FWPM_LAYER_IPSEC_KM_DEMUX_V6                                                              6934
FWPM_LAYER_IPSEC_V4                                                                       6936
FWPM_LAYER_IPSEC_V6                                                                       6938
FWPM_LAYER_KM_AUTHORIZATION                                                               6954
FWPM_LAYER_NAME_RESOLUTION_CACHE_V4                                                       6870
FWPM_LAYER_NAME_RESOLUTION_CACHE_V6                                                       6872
FWPM_LAYER_OUTBOUND_ICMP_ERROR_V4                                                         6814
FWPM_LAYER_OUTBOUND_ICMP_ERROR_V4_DISCARD                                                 6816
FWPM_LAYER_OUTBOUND_ICMP_ERROR_V6                                                         6818
FWPM_LAYER_OUTBOUND_ICMP_ERROR_V6_DISCARD                                                 6820
FWPM_LAYER_OUTBOUND_IPPACKET_V4                                                           6758
FWPM_LAYER_OUTBOUND_IPPACKET_V4_DISCARD                                                   6760
FWPM_LAYER_OUTBOUND_IPPACKET_V6                                                           6762
FWPM_LAYER_OUTBOUND_IPPACKET_V6_DISCARD                                                   6764
FWPM_LAYER_OUTBOUND_MAC_FRAME_ETHERNET                                                    6864
FWPM_LAYER_OUTBOUND_MAC_FRAME_NATIVE                                                      6868
FWPM_LAYER_OUTBOUND_MAC_FRAME_NATIVE_FAST                                                 6912
FWPM_LAYER_OUTBOUND_TRANSPORT_FAST                                                        6908
FWPM_LAYER_OUTBOUND_TRANSPORT_V4                                                          6782
FWPM_LAYER_OUTBOUND_TRANSPORT_V4_DISCARD                                                  6784
FWPM_LAYER_OUTBOUND_TRANSPORT_V6                                                          6786
FWPM_LAYER_OUTBOUND_TRANSPORT_V6_DISCARD                                                  6788
FWPM_LAYER_RPC_EP_ADD                                                                     6948
FWPM_LAYER_RPC_EPMAP                                                                      6946
FWPM_LAYER_RPC_PROXY_CONN                                                                 6950
FWPM_LAYER_RPC_PROXY_IF                                                                   6952
FWPM_LAYER_RPC_UM                                                                         6944
FWPM_LAYER_STREAM_PACKET_V4                                                               6890
FWPM_LAYER_STREAM_PACKET_V6                                                               6892
FWPM_LAYER_STREAM_V4                                                                      6790
FWPM_LAYER_STREAM_V4_DISCARD                                                              6792
FWPM_LAYER_STREAM_V6                                                                      6794
FWPM_LAYER_STREAM_V6_DISCARD                                                              6796
GetRequests                                                                               8202
Groveler Service Routine Executions/Second                                                    
HardConnectsPerSecond                                                                     4002
HardDisconnectsPerSecond                                                                  4004
HeadRequests                                                                              8204
HypervisorStartupCost                                                                     8600
I/O - запись байт в сек                                                                   1422
I/O - обмен данными, байт в сек                                                           1424
I/O - операций записи в сек                                                               1414
I/O - операций с данными в сек                                                            1416
I/O - операций чтения в сек                                                               1412
I/O - прочих байт в сек                                                                   1426
I/O - прочих операций в сек                                                               1418
I/O - чтение байт в сек                                                                   1420
I/O Database Reads Average Latency                                                        3640
I/O Database Reads/sec                                                                    3638
I/O Database Writes Average Latency                                                       3650
I/O Database Writes/sec                                                                   3648
Inbound Packets Discarded/sec                                                             6338
IP6.ARPA-запросы: сопоставлено                                                            5008
IPv4: NBL в секунду пометкой "без предварительной проверки"                               7452
IPv4: NBL в секунду с флагом нехватки ресурсов                                            7444
IPv4: NBL с пометкой "без предварительной проверки"                                       7450
IPv4: NBL с флагом нехватки ресурсов                                                      7442
IPv4: исходящих NBL в секунду, не обработанных через быстрый путь                         7468
IPv4: исходящих NBL, не обработанных через быстрый путь                                   7466
IPv4: обработано NBL без предварительной проверки                                         7458
IPv4: обработано NBL в секунду без предварительной проверки                               7460
IPv6: NBL в секунду с пометкой "без предварительной проверки"                             7456
IPv6: NBL в секунду с флагом нехватки ресурсов                                            7448
IPv6: NBL с пометкой "без предварительной проверки"                                       7454
IPv6: NBL с флагом нехватки ресурсов                                                      7446
IPv6: исходящих NBL в секунду, не обработанных через быстрый путь                         7472
IPv6: исходящих NBL, не обработанных через быстрый путь                                   7470
IPv6: обработано NBL без предварительной проверки                                         7462
IPv6: обработано NBL в секунду без предварительной проверки                               7464
Library Description Change Notifications/Second                                               
Library Description Updates/Second                                                            
Local Usage                                                                                   
MaxConnections                                                                            8198
MaxQueueItemAge                                                                           8212
Monitored Folder Updates/Second                                                               
Non Local Usage                                                                               
Normalization Time (ms)                                                                       
Number of Scopes loaded in memory                                                             
NumberOfActiveConnectionPoolGroups                                                        4014
NumberOfActiveConnectionPools                                                             4018
NumberOfActiveConnections                                                                 4022
NumberOfBindings                                                                          6258
NumberOfFreeConnections                                                                   4024
NumberOfInactiveConnectionPoolGroups                                                      4016
NumberOfInactiveConnectionPools                                                           4020
NumberOfNonPooledConnections                                                              4010
NumberOfPooledConnections                                                                 4012
NumberOfReclaimedConnections                                                              4028
NumberOfSessions                                                                          6256
NumberOfStasisConnections                                                                 4026
NumExtToIntTranslations                                                                   6262
NumIntToExtTranslations                                                                   6260
NumPacketsDropped                                                                         6264
NumSessionsTimedOut                                                                       6266
Processor Frequency                                                                       9336
Processor State Flags                                                                     9340
Property Extraction Time (ms)                                                                 
Reads/sec                                                                                     
RejectedRequests                                                                          8218
RejectionRate                                                                             8216
Remaining Capacity                                                                        9174
Reorganize Time (ms)                                                                          
RTT базового TCP-подключения                                                              8356
RTT базового UDP-подключения                                                              8394
RTT текущего TCP-подключения                                                              8358
RTT текущего UDP-подключения                                                              8396
Running Time                                                                                  
Scanning State                                                                                
Shared Usage                                                                                  
SoftConnectsPerSecond                                                                     4006
SoftDisconnectsPerSecond                                                                  4008
SqlClient: # команд с ошибками                                                            3998
SqlClient: # подключений в и вне пула подключений                                         3988
SqlClient: # подключений в пуле                                                           3994
SqlClient: # подключений с ошибками                                                       3996
SqlClient: # пулов подключений                                                            3992
Tag                                                                                       9176
TGS-запросов KDC                                                                          1578
TGS-запросов ограниченного делегирования классического типа к KDC                         1628
TGS-запросов ограниченного делегирования ресурсного типа к KDC                            1630
TGS-запросов с требованием утверждений к KDC                                              1632
TGS-запросов удостоверений, подтвержденных службой, с требованием утверждений к KDC       1626
Timestamp Directory Hit Count                                                                 
Total Committed                                                                               
Total number of scopes                                                                        
TotalFlushedUris                                                                          8186
TotalUrisCached                                                                           8178
UriCacheFlushes                                                                           8184
UriCacheHits                                                                              8180
UriCacheMisses                                                                            8182
URL Classification Time (ms)                                                                  
URL-адресов в журнале                                                                     4188
Utilization Percentage                                                                        
Voltage                                                                                   9178
Writes/sec                                                                                    
АААА-запросы: со сбоем                                                                    5006
АААА-запросы: успешно выполненные                                                         5004
Аварийно завершено транзакций                                                             1854
Аварийно завершено транзакций/с                                                           1874
Активно регистраций  для net.pipe                                                         4112
Активно регистраций для net.tcp                                                           4110
Активные байты виртуального диска                                                         7068
Активные входящие подключения                                                             6330
Активные исходящие подключения                                                            6332
Активные оболочки                                                                         5084
Активные операции                                                                         5086
Активные подключения RSC по протоколу TCP                                                 1598
Активные пользователи                                                                     5088
Активные транзакции                                                                       1850
Активные элементы виртуального диска                                                      7066
Активных входящих подключений                                                             6358
Активных исходящих подключений                                                            6360
Активных команд                                                                           392 
Активных линий                                                                            1156
Активных подключений                                                                      4374
Активных потоков                                                                          1304
Активных сеансов                                                                          8156
Активных сопоставлений безопасности                                                       6370
Активных сопоставлений безопасности в быстром режиме                                      6492
Активных сопоставлений безопасности в основном режиме                                     6472
Активных сопоставлений безопасности в расширенном режиме                                  6610
Активных телефонов                                                                        1158
Активных элементов кэша сеанса Schannel                                                   1582
Аппаратных прерываний/с                                                                   8888
Аппаратных прерываний/сек                                                                 8610
Асинхронный простой контроллера узла                                                      1904
Асинхронных быстрых чтений/с                                                              128 
Асинхронных отображений данных/с                                                          92  
Асинхронных фиксаций при чтении/с                                                         102 
Асинхронных чтений MDL/с                                                                  118 
Асинхронных чтений с копированием/с                                                       110 
Базовый приоритет                                                                         682 
Байт в выгружаемом страничном пуле                                                        56  
Байт в куче загрузчика                                                                    3842
Байт в кэше                                                                               4032
Байт в невыгружаемом страничном пуле                                                      58  
Байт в резидентном страничном пуле                                                        66  
Байт виртуальной памяти                                                                   1766
Байт виртуальной памяти (пик)                                                             172 
Байт во всех кучах                                                                        3820
Байт выделенной виртуальной памяти                                                        1762
Байт данных/cек                                                                           1876
Байт записи файлов/с                                                                      18  
Байт измененных страниц памяти                                                            1678
Байт исключительного пользования                                                          186 
Байт кэшировано                                                                           4726
Байт кэш-памяти                                                                           818 
Байт кэш-памяти (пик)                                                                     820 
Байт прерываний/сек                                                                       1880
Байт прочитано из кэша/с                                                                  4756
Байт прочитано при промахах кэша/с                                                        4758
Байт разгрузки отправки TCP/сек.                                                          4546
Байт свободной памяти и обнуленных страниц памяти                                         1676
Байт управления файлами/с                                                                 20  
Байт файла подкачки                                                                       184 
Байт файла подкачки (пик)                                                                 182 
Байт чтения файлов/с                                                                      16  
Байт, обработанных диспетчером                                                            5100
